listed_in,Total_Peliculas,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
Action & Adventure,742,113.04312668463612,40,214,23.344299137507775,544.9563022214462
Anime Features,13,100.84615384615384,46,130,21.007324729905335,441.3076923076923
Children & Family Movies,385,85.44415584415584,14,146,23.118414003069407,534.4610660173157
Classic Movies,69,123.6086956521739,18,229,35.70681982615068,1274.976982097187
Comedies,1060,107.27735849056604,13,253,21.83785333206453,476.8918381527618
Cult Movies,11,101.81818181818181,83,158,23.391529158300795,547.1636363636363
Documentaries,301,83.83388704318936,12,208,22.579171401401435,509.8189811738645
Dramas,1451,111.87456926257754,12,224,22.842687981296965,521.7883942108889
Horror Movies,240,97.0375,29,171,15.27799063712077,233.41699790794988
Independent Movies,16,96.6875,86,110,6.405401366555156,41.02916666666667
International Movies,105,110.77142857142857,53,196,21.672943582182917,469.71648351648366
LGBTQ Movies,1,99.0,99,99,,
Movies,15,49.53333333333333,22,115,28.577880223964094,816.695238095238
Music & Musicals,10,95.7,52,153,35.21379149014078,1240.0111111111112
Romantic Movies,3,83.33333333333333,81,85,2.081665999466131,4.333333333333325
Sci-Fi & Fantasy,11,108.0909090909091,89,127,12.786356364926995,163.49090909090907
Stand-Up Comedy,247,66.54655870445345,28,113,11.640833403884226,135.50900233698684
Thrillers,59,100.72881355932203,80,149,15.874323779759584,251.99415546464058
