country,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
Argentina,92.8974358974359,60,124,15.35508637106571,235.7786774628879
Australia,94.83333333333333,23,146,23.585366300867566,556.2695035460994
Austria,98.2,93,101,3.1144823004794886,9.700000000000006
Bangladesh,99.5,95,104,6.363961030678928,40.5
Belgium,101.75,84,114,12.816005617976298,164.25000000000003
Brazil,92.30952380952381,44,133,19.290447649015803,372.1213704994193
Bulgaria,94.5,87,110,10.47218538160334,109.66666666666669
Cambodia,114.5,92,137,31.81980515339464,1012.5
Cameroon,143.0,143,143,,
Canada,91.31972789115646,25,158,20.670601980271872,427.27378622681937
Chile,98.5,86,119,9.897552144926463,97.96153846153844
China,110.5576923076923,73,141,14.470271704345661,209.3887631975867
Colombia,87.36363636363636,64,108,13.58876541318399,184.65454545454548
Croatia,157.0,157,157,,
Czech Republic,116.25,104,127,11.026483271348726,121.5833333333333
Denmark,105.33333333333333,89,168,22.664884065376768,513.6969696969697
Egypt,108.74157303370787,15,253,29.751061130765358,885.1256384065372
Finland,108.0,108,108,,
France,98.36666666666666,22,180,18.550378071905826,344.1165266106445
Germany,99.56060606060606,60,155,17.724497421868097,314.15780885780885
Ghana,105.5,81,148,29.8942580885806,893.6666666666666
Guatemala,69.0,69,69,,
Hong Kong,98.83582089552239,79,130,10.67082828134067,113.86657620985989
Hungary,101.2,72,116,18.019433953373785,324.7
Iceland,87.33333333333333,54,106,28.93671255228094,837.3333333333334
India,127.85895953757226,41,228,24.45027060611972,597.8157327124819
Indonesia,109.45070422535211,73,180,19.42001083742111,377.1368209255534
Iran,123.0,123,123,,
Ireland,94.66666666666667,30,125,23.524705411670563,553.4117647058823
Israel,105.7,88,123,9.85506074168101,97.12222222222225
Italy,105.25,45,229,29.91165563550675,894.7071428571428
Jamaica,112.0,112,112,,
Japan,100.73529411764706,22,181,23.895679773810624,571.0035118525021
Kenya,92.5,92,93,0.7071067811865476,0.5
Kuwait,108.8,72,177,39.95872870850623,1596.7
Lebanon,88.5,13,112,23.706539182259394,562.0
Malaysia,99.06666666666666,76,120,13.640625596601744,186.0666666666667
Mauritius,90.0,90,90,,
Mexico,94.93442622950819,28,152,23.24784495565056,540.4622950819672
Mozambique,102.0,102,102,,
Namibia,29.0,29,29,,
Netherlands,98.93333333333334,12,196,38.46049302608488,1479.209523809524
New Zealand,109.0,70,201,38.44043010512066,1477.6666666666667
Nigeria,107.32530120481928,67,182,18.291747061964877,334.5880105789007
Norway,111.0,75,144,25.06391828904651,628.2
Pakistan,127.5625,88,170,20.359989358215948,414.5291666666666
Peru,96.33333333333333,87,102,8.144527815247075,66.3333333333333
Philippines,111.57142857142857,78,150,12.650596586128351,160.03759398496229
Poland,95.6,33,136,22.048749815376212,486.1473684210526
Portugal,98.5,77,113,16.27882059609971,265.00000000000006
Romania,124.88888888888889,96,186,28.585155432691128,817.1111111111111
Russia,108.75,96,126,12.579745625409124,158.25
Saudi Arabia,98.28571428571429,88,120,10.641338977689568,113.23809523809526
Serbia,90.66666666666667,89,92,1.5275252316519452,2.3333333333333286
Singapore,88.11111111111111,61,111,14.70071804746663,216.1111111111111
Slovenia,84.0,84,84,,
Somalia,118.0,118,118,,
South Africa,95.13793103448276,30,121,18.46565177746246,340.9802955665024
South Korea,117.20930232558139,54,148,20.64387161401531,426.16943521594703
Spain,102.89814814814815,25,163,16.376379054330602,268.1857909311181
Sweden,95.0,86,111,9.528903399657278,90.80000000000001
Switzerland,94.28571428571429,68,108,13.387983240133492,179.23809523809527
Syria,91.0,91,91,,
Taiwan,110.75,82,156,20.807013677647692,432.9318181818182
Thailand,107.63636363636364,82,135,13.56424109058949,183.98863636363637
Turkey,107.44,90,153,11.586618563227573,134.24972972972978
United Arab Emirates,93.17647058823529,71,125,14.774282106576477,218.27941176470588
United Kingdom,99.24666666666667,15,208,26.36619825186047,695.1764102564102
United States,94.86593059936908,12,209,23.05685414452718,531.6185230420001
Uruguay,85.0,69,122,21.93171219946131,481.0
Venezuela,119.0,119,119,,
Vietnam,104.5,92,117,11.74308307047174,137.9
Zimbabwe,100.0,100,100,,
