,month_added,Total_Peliculas,Promedio_Peliculas,Peliculas_Minimas,Peliculas_Maximas,Desviacion_Estandar,Varianza
0,1,433,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
1,2,298,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
2,3,416,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
3,4,420,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
4,5,323,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
5,6,371,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
6,7,401,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
7,8,412,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
8,9,380,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
9,10,443,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
10,11,411,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
11,12,431,394.9166666666667,298,443,44.80758526153464,2007.7196969696963
